H:\Desktop\Github\RAFT-sintel\core\raft.py:99: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
H:\Desktop\Github\RAFT-sintel\core\raft.py:110: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
C:\ProgramData\anaconda3\envs\raft_env\lib\site-packages\torch\functional.py:534: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\TensorShape.cpp:3596.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
H:\Desktop\Github\RAFT-sintel\core\raft.py:127: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(enabled=self.args.mixed_precision):
C:\ProgramData\anaconda3\envs\raft_env\lib\site-packages\torch\optim\lr_scheduler.py:224: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
[ 20200,  0.0000840]     0.8008,     0.9056,     0.9324,     2.3418,
[ 20300,  0.0000839]     0.8130,     0.9103,     0.9352,     2.3070,
[ 20400,  0.0000838]     0.8086,     0.9116,     0.9368,     2.2704,
[ 20500,  0.0000837]     0.8056,     0.9041,     0.9307,     2.3796,
[ 20600,  0.0000836]     0.8082,     0.9093,     0.9357,     2.2847,
[ 20700,  0.0000835]     0.7993,     0.9018,     0.9292,     2.4468,
[ 20800,  0.0000834]     0.8172,     0.9152,     0.9397,     2.2236,
[ 20900,  0.0000833]     0.8099,     0.9100,     0.9352,     2.4936,
[ 21000,  0.0000832]     0.7978,     0.9022,     0.9289,     2.5949,
[ 21100,  0.0000831]     0.8043,     0.9067,     0.9328,     2.3175,
[ 21200,  0.0000830]     0.8159,     0.9113,     0.9352,     2.5038,
[ 21300,  0.0000829]     0.8002,     0.9046,     0.9313,     2.7068,
[ 21400,  0.0000828]     0.8044,     0.9035,     0.9297,     2.7562,
[ 21500,  0.0000827]     0.8094,     0.9073,     0.9330,     2.4668,
[ 21600,  0.0000825]     0.8184,     0.9168,     0.9406,     2.4290,
[ 21700,  0.0000824]     0.7989,     0.9032,     0.9302,     3.0304,
[ 21800,  0.0000823]     0.8077,     0.9078,     0.9330,     2.3899,
[ 21900,  0.0000822]     0.8224,     0.9192,     0.9426,     1.9688,
[ 22000,  0.0000821]     0.8006,     0.9018,     0.9281,     2.9173,
[ 22100,  0.0000820]     0.8062,     0.9073,     0.9324,     2.4225,
[ 22200,  0.0000819]     0.8035,     0.9037,     0.9303,     2.5227,
[ 22300,  0.0000818]     0.8005,     0.9046,     0.9317,     2.2165,
[ 22400,  0.0000817]     0.8123,     0.9124,     0.9378,     2.4543,
[ 22500,  0.0000816]     0.8099,     0.9114,     0.9375,     2.3356,
[ 22600,  0.0000815]     0.8115,     0.9100,     0.9354,     2.1789,
[ 22700,  0.0000814]     0.7919,     0.8982,     0.9256,     2.7050,
[ 22800,  0.0000813]     0.8041,     0.9061,     0.9328,     2.3494,
[ 22900,  0.0000812]     0.7994,     0.9006,     0.9280,     2.6414,
[ 23000,  0.0000811]     0.8125,     0.9110,     0.9359,     2.3594,
[ 23100,  0.0000810]     0.8109,     0.9111,     0.9361,     2.3536,
[ 23200,  0.0000809]     0.8310,     0.9215,     0.9447,     1.8481,
[ 23300,  0.0000808]     0.8156,     0.9104,     0.9356,     2.2457,
[ 23400,  0.0000807]     0.8222,     0.9144,     0.9390,     2.4259,
[ 23500,  0.0000806]     0.8241,     0.9164,     0.9394,     2.6386,
[ 23600,  0.0000804]     0.8058,     0.9049,     0.9302,     2.7338,
[ 23700,  0.0000803]     0.8072,     0.9088,     0.9355,     2.2743,
[ 23800,  0.0000802]     0.8094,     0.9102,     0.9366,     2.2077,
[ 23900,  0.0000801]     0.8141,     0.9093,     0.9342,     2.5170,
[ 24000,  0.0000800]     0.8267,     0.9216,     0.9449,     2.1838,
[ 24100,  0.0000799]     0.8165,     0.9149,     0.9395,     2.1788,
[ 24200,  0.0000798]     0.8003,     0.9045,     0.9309,     2.4902,
[ 24300,  0.0000797]     0.8240,     0.9167,     0.9405,     2.2518,
[ 24400,  0.0000796]     0.7993,     0.9013,     0.9285,     2.7805,
[ 24500,  0.0000795]     0.8229,     0.9165,     0.9398,     2.1178,
[ 24600,  0.0000794]     0.8088,     0.9097,     0.9354,     2.3767,
[ 24700,  0.0000793]     0.7975,     0.8963,     0.9234,     2.9060,
[ 24800,  0.0000792]     0.8171,     0.9090,     0.9324,     2.5091,
[ 24900,  0.0000791]     0.8124,     0.9088,     0.9347,     2.2609,
[ 25000,  0.0000790]     0.8301,     0.9197,     0.9429,     2.1081,
Validation sintel_flyvis_split (clean) EPE: 1.465485, 1px: 0.848273, 3px: 0.944481, 5px: 0.964627
Validation sintel_flyvis_split (final) EPE: 2.842016, 1px: 0.809984, 3px: 0.912258, 5px: 0.937005
Validation results:
sintel_flyvis_split_clean: 1.4654849767684937
sintel_flyvis_split_final: 2.842015504837036
[ 25100,  0.0000789]     0.8060,     0.9048,     0.9314,     2.4433,
[ 25200,  0.0000788]     0.8286,     0.9190,     0.9422,     2.0256,
[ 25300,  0.0000787]     0.8193,     0.9110,     0.9355,     2.4749,
[ 25400,  0.0000786]     0.8211,     0.9139,     0.9381,     2.2350,
[ 25500,  0.0000784]     0.8102,     0.9080,     0.9340,     2.3314,
[ 25600,  0.0000783]     0.8124,     0.9080,     0.9339,     2.6269,
[ 25700,  0.0000782]     0.8104,     0.9115,     0.9376,     2.1805,
[ 25800,  0.0000781]     0.8218,     0.9161,     0.9417,     1.9711,
[ 25900,  0.0000780]     0.8094,     0.9097,     0.9358,     2.5510,
[ 26000,  0.0000779]     0.8141,     0.9108,     0.9359,     2.2863,
[ 26100,  0.0000778]     0.8282,     0.9226,     0.9451,     2.2253,
[ 26200,  0.0000777]     0.8292,     0.9217,     0.9440,     2.3791,
[ 26300,  0.0000776]     0.8045,     0.9032,     0.9299,     2.5998,
[ 26400,  0.0000775]     0.8198,     0.9100,     0.9344,     2.5531,
